,city,Group #,Group,group#,Group#,region,country,Date,Time in GMT,DavidCameron,EdMiliband,NickClegg
0,Cliffe Woods ,1 group,first_group,group 1,group 1,England ,United Kingdom,Apr 30 2015, 19:32,100.0,100.0,0.0
1,Gorefield ,1 group,first_group,group 1,group 1,England ,United Kingdom,Apr 30 2015, 20:08,0.0,100.0,0.0
2,Carlton ,1 group,first_group,group 1,group 1,England ,United Kingdom,Apr 30 2015, 21:02,0.0,100.0,0.0
3,Amble ,1 group,first_group,group 1,group 1,England ,United Kingdom,Apr 30 2015, 21:48,0.0,100.0,0.0
4,Caddington ,1 group,first_group,group 1,group 1,England ,United Kingdom,Apr 30 2015, 20:31,0.0,25.0,0.0
5,Mayfield ,1 group,first_group,group 2,group 2,England ,United Kingdom,Apr 30 2015, 19:00,0.0,100.0,0.0
6,Mayfield ,2 group,second_group,group 2,group 2,England ,United Kingdom,Apr 30 2015, 21:35,0.0,100.0,0.0
7,Burniston ,2 group,second_group,group 2,group 2,England ,United Kingdom,Apr 30 2015, 20:28,0.0,100.0,0.0
8,High Littleton ,2 group,second_group,group 2,group 2,England ,United Kingdom,Apr 30 2015, 20:28,0.0,100.0,0.0
9,High Littleton ,2 group,second_group,group 2,group 2,England ,United Kingdom,Apr 30 2015, 20:50,0.0,100.0,0.0
